Isolate_ID,Farm_id,Sample_site,Total length,Total_contigs,GC (%),N50,L90,SBI,Lactose,Sorbitol,Surcrose,Stx_gene
EcCa437a,25,Farm,5553115,2,50.46,5460378,1,WY12a,1,0,1,Stx1a_and_2a
EcCa437b,25,Farm,5501386,2,50.46,5408652,1,WY12a,1,0,1,Stx1a_and_2a
EcCa442a,25,Farm,5552194,2,50.46,5460380,1,WY12a,1,0,1,Stx1a_and_2a
EcCa442b,25,Farm,5553116,2,50.46,5460380,1,WY12a,1,0,1,Stx1a_and_2a
EcCa442c,25,Farm,5553112,2,50.46,5460375,1,WY12a,1,0,1,Stx1a_and_2a
EcCa449a,25,Lairage,5553112,2,50.46,5460378,1,WY12a,1,0,1,Stx1a_and_2a
EcCa449b,25,Lairage,5553111,2,50.46,5460379,1,WY12a,1,0,1,Stx1a_and_2a
EcCa449c,25,Lairage,5553110,2,50.46,5460375,1,WY12a,1,0,1,Stx1a_and_2a
EcCa449d,25,Lairage,5553113,2,50.46,5460378,1,WY12a,1,0,1,Stx1a_and_2a
EcCa460a,25,Lairage,5460377,1,50.51,5460377,1,WY12a,1,0,1,Stx1a_and_2a
EcCa460b,25,Lairage,5645490,2,50.41,5460376,1,WY12a,1,0,1,Stx1a_and_2a
EcCa460c,25,Lairage,5645466,2,50.41,5460376,1,WY12a,1,0,1,Stx1a_and_2a
EcCa464a,25,Lairage,5501390,2,50.46,5408652,1,WY12a,1,0,1,Stx1a_and_2a
EcCa464b,25,Lairage,5553119,2,50.45,5460386,1,WY12a,1,0,1,Stx1a_and_2a
EcCa464c,25,Lairage,5549884,2,50.46,5460468,1,WY12a,1,0,1,Stx1a_and_2a
EcCa464d,25,Lairage,5553113,2,50.46,5460380,1,WY12a,1,0,1,Stx1a_and_2a
EcCa529a,25,Farm,5553111,2,50.46,5460380,1,WY12a,1,0,1,Stx1a_and_2a
EcCa529b,25,Farm,5561242,6,50.45,5092421,1,WY12a,1,0,1,Stx1a_and_2a
EcCa530a,25,Farm,5561578,3,50.45,5460377,1,WY12a,1,0,1,Stx1a_and_2a
EcCa530b,25,Farm,5553121,2,50.46,5460381,1,WY12a,1,0,1,Stx1a_and_2a
EcCa530c,25,Farm,5560555,3,50.45,5460378,1,WY12a,1,0,1,Stx1a_and_2a
EcCa531a,84,Farm,5739691,3,50.46,5645443,1,AWY2a,1,0,1,Stx2a
EcCa531b,84,Farm,5630073,2,50.44,5539078,1,AY2a,1,0,1,Stx2a
EcCa531c,84,Farm,5630064,2,50.44,5539069,1,AY2a,1,0,1,Stx2a
EcCa531d,84,Farm,5630071,2,50.44,5539076,1,AY2a,1,0,1,Stx2a
EcCa532a,84,Farm,5627433,2,50.44,5536437,1,AY2a,1,0,1,Stx2a
EcCa533a,84,Farm,5622408,2,50.44,5531410,1,AY2a,1,0,1,Stx2a
